cong,id,state,dist,lstate,party,name,unity,num unity votes,total unity votes
35,99883,99,0,USA,100,BUCHANAN,93.75,15,16
35,8829,41,1,ALABAMA,100,STALLWORTH,82.292,237,288
35,8486,41,2,ALABAMA,100,SHORTER,81.967,250,305
35,2698,41,3,ALABAMA,100,DOWDELL,86.389,311,360
35,6652,41,4,ALABAMA,100,MOORE,84.923,276,325
35,4610,41,5,ALABAMA,100,HOUSTON,85.989,313,364
35,1874,41,6,ALABAMA,100,COBB,73.822,282,382
35,2264,41,7,ALABAMA,100,CURRY,83.642,271,324
35,3800,42,1,ARKANSA,100,GREENWOOD,88.818,278,313
35,9841,42,2,ARKANSA,100,WARREN,83.495,86,103
35,8294,71,98,CALIFOR,100,SCOTT,78.873,224,284
35,6305,71,98,CALIFOR,100,MCKIBBIN,64.216,131,204
35,1761,1,1,CONNECT,200,CLARK E,86.804,296,341
35,246,1,2,CONNECT,100,ARNOLD,71.362,152,213
35,2447,1,3,CONNECT,200,DEAN,87.958,336,382
35,735,1,4,CONNECT,100,BISHOP,81.124,202,249
35,10059,11,1,DELAWAR,100,WHITELY,82.069,238,290
35,4213,43,1,FLORIDA,100,HAWKINS,80.251,256,319
35,8377,44,1,GEORGIA,100,SEWARD,70.111,190,271
35,2162,44,2,GEORGIA,100,CRAWFORD,89.636,320,357
35,9479,44,3,GEORGIA,310,TRIPPE,89.636,320,357
35,3496,44,4,GEORGIA,100,GARTRELL,88.315,325,368
35,10383,44,5,GEORGIA,100,WRIGHT  A.R,79.026,211,267
35,4855,44,6,GEORGIA,100,JACKSON,93.258,332,356
35,4416,44,7,GEORGIA,310,HILL,93.258,332,356
35,8885,44,8,GEORGIA,100,STEPHENS,86.861,238,274
35,9854,21,1,ILLINOI,200,WASHBURNE,85.641,334,390
35,3064,21,2,ILLINOI,200,FARNSWORTH,90.813,257,283
35,5797,21,3,ILLINOI,200,LOVEJOY,89.62,354,395
35,5146,21,4,ILLINOI,200,KELLOGG,86.087,297,345
35,6704,21,5,ILLINOI,100,MORRIS  I.N,42.357,133,314
35,4116,21,6,ILLINOI,100,HARRIS  T.L,47.208,93,197
35,4478,21,6,ILLINOI,100,HODGES,58.407,66,113
35,8413,21,7,ILLINOI,100,SHAW A,50,151,302
35,8677,21,8,ILLINOI,100,SMITH  R.,49.671,151,304
35,6006,21,9,ILLINOI,100,MARSHALL SS,66.327,195,294
35,6910,22,1,INDIANA,100,NIBLACK,83.565,300,359
35,2972,22,2,INDIANA,100,ENGLISH,72.436,226,312
35,4701,22,3,INDIANA,100,HUGHES,85.085,251,295
35,3248,22,4,INDIANA,100,FOLEY,68.354,270,395
35,5239,22,5,INDIANA,200,KILGORE,88,286,325
35,3807,22,6,INDIANA,100,GREGG,83.558,310,371
35,2397,22,7,INDIANA,100,DAVIS  J.G.,54.301,202,372
35,10231,22,8,INDIANA,200,WILSON,86.219,244,283
35,1938,22,9,INDIANA,200,COLFAX,88.63,343,387
35,1568,22,10,INDIANA,200,CASE,91.086,327,359
35,7384,22,11,INDIANA,200,PETTIT,87.087,290,333
35,2274,31,1,IOWA,200,CURTIS,85.475,306,358
35,2415,31,2,IOWA,200,DAVIS  J,88.081,303,344
35,1290,51,1,KENTUCK,100,BURNETT,89.676,304,339
35,7389,51,2,KENTUCK,100,PEYTON,89.041,325,365
35,9562,51,3,KENTUCK,310,UNDERWOOD,89.041,325,365
35,9162,51,4,KENTUCK,100,TALBOTT,84.752,239,282
35,4933,51,5,KENTUCK,100,JEWETT,84.132,281,334
35,2914,51,6,KENTUCK,100,ELLIOTT,87.097,216,248
35,6001,51,7,KENTUCK,310,MARSHALL  H,87.097,216,248
