state,pct_trans,medinc,ss_couples,pct_white,pubop,y_hat,cell_int,state_abbrev,cell_int2,anti_2023,pid_2023,prri_2023
AK,.8062023094884762,75.462997,.5,59.799999,62,.84142244,.74000001,AK,.81,1,2,58
AL,,51.734001,.5,65.099998,47,.57025141,.75,AL,.81999999,0,1,54
AR,,48.952,.60000002,72,42,.47523713,.70999998,AR,.77999997,7,1,59
AZ,.7314869428798135,62.055,.89999998,54,61,.80897903,.80000001,AZ,.92000002,11,2,67
CA,.4240019920517268,80.440002,1,36.299999,76,1.1160042,.87,CA,.88999999,0,0,71
CO,.5965521991475964,77.126999,1,67.5,67,.86824721,.79000002,CO,.82999998,1,0,66
CT,.5029418144815497,78.833,.80000001,65.599998,81,1.0362782,.54000002,CT,.70999998,2,0,69
DC,,92.265999,2.4000001,37.299999,98,1.3945631,.81999999,DC,.87,0,0,98
DE,.8213259517213214,70.176003,1.3,61.299999,60,.79433191,.75,DE,.85000002,0,0,69
FL,.5492166821203679,59.227001,1,53,58,.77053547,.76999998,FL,.81,6,1,66
GA,.6176896392271367,61.98,.69999999,51.799999,51,.7086243,.76999998,GA,.77999997,5,1,59
GU,1.028783922925714,48.273998,1.2,7.0999999,79,1.1647298,.44999999,GU,.5,,,
HI,.6655027548170128,83.101997,.89999998,21.5,79,1.2234192,.83999997,HI,.88,4,0,78
IA,.2903722534910611,61.691002,.5,85.099998,63,.69275326,.81999999,IA,.85000002,27,1,66
ID,.3097889998931229,60.999001,.40000001,81.599998,46,.51911491,.81999999,ID,.87,6,1,54
IL,.4167376559384485,69.186996,.69999999,60.700001,72,.92523831,.77999997,IL,.82999998,0,0,66
IN,.5327417848767153,57.603001,.69999999,78.300003,53,.59858167,.76999998,IN,.83999997,17,1,59
KS,.5412018765582353,62.087002,.5,75.400002,57,.67097574,.75,KS,.80000001,12,2,57
KY,,52.294998,.69999999,84.199997,43,.44422713,.73000002,KY,.81,11,2,57
LA,.440689951202649,51.073002,.60000002,58.200001,49,.62026417,.80000001,LA,.87,0,2,70
MA,.6445422919800962,85.843002,1.2,70.300003,88,1.1170034,.76999998,MA,.75999999,0,0,81
MD,.5098170326456358,86.737999,.89999998,49.799999,77,1.0896294,.61000001,MD,.74000001,1,0,72
ME,,58.924,1,92.800003,69,.71502405,.56,ME,.76999998,4,0,75
MI,,59.584,.60000002,74.699997,60,.69821662,.77999997,MI,.81,1,0,67
MN,.6374670221425129,74.593002,.60000002,78.900002,65,.78722578,.77999997,MN,.82999998,5,0,69
MO,.203433022571766,57.409,.80000001,79.099998,47,.52851409,.75999999,MO,.82999998,34,1,55
MS,.4149676528398869,45.792,.40000001,56.299999,39,.50034064,.77999997,MS,.81999999,24,1,62
MT,.383482895410302,57.153,.30000001,85.800003,46,.48714504,.70999998,MT,.79000002,6,1,58
NC,1.037474939048593,57.341,.69999999,62.5,56,.70014942,.81999999,NC,.87,3,2,64
ND,,64.577003,.2,83.599998,63,.70947242,.66000003,ND,.74000001,17,1,64
NE,,63.229,.5,78.400002,55,.63981706,.75,NE,.80000001,4,1,56
NH,,77.932999,1,89.699997,71,.81725645,.57999998,NH,.66000003,4,1,66
NJ,,85.750999,.69999999,54.299999,81,1.110271,.63,NJ,.79000002,6,0,76
NM,,51.945,1,36.799999,64,.88219041,.79000002,NM,.86000001,1,0,67
NV,.3416986787938577,63.276001,1,47.799999,68,.91739547,.81999999,NV,.87,0,2,67
NY,.5489367066379177,72.108002,.89999998,55.099998,79,1.0369724,.69999999,NY,.69,0,0,70
OH,.5134583245601047,58.641998,.69999999,78.300003,61,.69004476,.70999998,OH,.81999999,0,1,64
OK,.6625045947076592,54.449001,.69999999,64.900002,45,.55869311,.75999999,OK,.85000002,35,1,61
OR,,67.057999,1.2,74.900002,69,.82233298,.76999998,OR,.82999998,7,0,67
PA,.5614614771749409,63.463001,.69999999,75.599998,66,.77371734,.79000002,PA,.87,0,2,67
PR,,20.474001,.60000002,1.3,45,.71957695,.83999997,PR,.93000001,,,
RI,.67000474340463,71.168999,.69999999,70.800003,87,1.0523893,.63999999,RI,.75999999,2,0,75
SC,.5209062248223708,56.227001,.69999999,63.5,51,.63695425,.74000001,SC,.80000001,16,1,58
SD,,59.533001,.40000001,81.5,50,.55832708,.73000002,SD,.75999999,3,1,57
TN,.5312913945292955,56.070999,.80000001,73.300003,42,.494468,.76999998,TN,.87,26,1,54
TX,.384516062451673,64.033997,.80000001,41.099998,51,.7629264,.85000002,TX,.86000001,29,1,64
UT,.5653417248038625,75.779999,.80000001,77.699997,61,.75275838,.86000001,UT,.88999999,7,1,60
VA,.4269714392368375,76.456001,.69999999,61.099998,61,.82820272,.67000002,VA,.75,12,2,71
VT,.4653370964608422,63.000999,1,92.5,83,.88432252,.60000002,VT,.69,0,2,74
WA,.498795416176254,78.686996,1.1,67.300003,71,.91850632,.76999998,WA,.83999997,2,0,67
WI,.279813411360163,64.167999,.60000002,80.800003,71,.80818582,.72000003,WI,.76999998,0,2,68
WV,.4531563992614497,48.849998,.40000001,92,40,.36488235,.61000001,WV,.69999999,12,1,48
WY,,65.002998,.5,83.699997,40,.45803946,.74000001,WY,.81,6,1,55
